 ID taxon,species,nom allemand,nom francais,nom italien,priorite,menace,responsabilite,necessite de prendre des mesures,Necessite de surveiller les populations,connaissances suffisantes?,techniques connues?,Jura,Plateau
319000,Potamogeton helveticus (G. Fisch.) W. Koch,Schweizerisches Laichkraut,Potamot de Suisse,Brasca elvetica,3,EN,1,1,2,1,0,A,A
319300,Potamogeton nodosus Poir.,Flutendes Laichkraut,Potamot noueux,Brasca nodosa,4,VU,1,1,1,1,0,A,A
319500,Potamogeton obtusifolius Mert. & W. D. J. Koch,Stumpfblaettriges Laichkraut,Potamot a feuilles obtuses,Brasca a foglie ottuse,3,EN,1,2,2,2,1,A,A
320000,Potamogeton polygonifolius Pourr.,Knoeterichblaettriges Laichkraut,Potamot a feuilles de renouee,Brasca poligonifoglia,3,EN,1,2,2,2,1,0,0
320100,Potamogeton praelongus Wulfen,Langblaettriges Laichkraut,Potamot allonge,Brasca a foglie lunghe,1,EN,3,2,2,2,1,D,D
320200,Potamogeton pusillus L.,Palermer Laichkraut,Potamot capillaire,Brasca palermitana,4,VU,1,2,1,2,1,A,A
320400,Potamogeton trichoides Cham. & Schltdl.,Haarfoermiges Laichkraut,Potamot fluet,Brasca capillare,3,EN,1,2,2,2,1,A,A
320700,Potentilla alba L.,Weisses Fingerkraut,Potentille blanche,Cinquefoglia bianca,4,VU,1,1,1,2,1,C,A
320800,Potentilla alpicola Fauc.,Alpen-Fingerkraut,Potentille alpicole,Cinquefoglia alpicola,1,CR,3,1,2,1,0,0,0
321700,Potentilla cinerea Vill.,Aschgraues Fingerkraut,Potentille cendree,Cinquefoglia cinerea,3,VU,2,1,1,1,0,0,D
322600,Potentilla grammopetala Moretti,Schmalkronblaettriges Fingerkraut,Potentille a petales etroits,Cinquefoglia a petali sottili,3,NT,3,2,1,2,1,0,0
322800,Potentilla heptaphylla L.,Roetliches Fingerkraut,Potentille a sept folioles,Cinquefoglia a sette foglie,4,VU,1,1,1,1,0,A,A
322850,Potentilla incana G. Gaertn. & al.,Sand-Fingerkraut,Potentille des sables,Cinquefoglie arenaria,2,CR,1,2,1,2,1,0,A
322900,Potentilla inclinata Vill.,Graues Fingerkraut,Potentille grisatre,Cinquefoglia cenerognola,3,EN,1,2,2,1,0,A,A
323100,Potentilla leucopolitana P. J. Muell.,Weissenburger Fingerkraut,Potentille de Wissembourg,Cinquefoglia leucopolitana,2,CR,1,2,2,2,1,D,A
323300,Potentilla multifida L.,Schlitzblaettriges Fingerkraut,Potentille multifide,Cinquefoglia sfrangiata,2,VU,3,1,1,1,0,0,0
323600,Potentilla nivea L.,Schneeweisses Fingerkraut,Potentille blanc de neige,Cinquefoglia nivea,2,VU,3,1,0,1,0,0,0
324100,Potentilla praecox F. W. Schultz,Fruehzeitiges Fingerkraut,Potentille precoce,Cinquefoglia precoce,1,CR,3,2,2,2,1,A,A
324800,Potentilla supina L.,Niederliegendes Fingerkraut,Potentille etalee,Cinquefoglia sdraiata,4,VU,1,1,1,1,0,0,A
325900,Primula daonensis (Leyb.) Leyb.,Val Daone-Primel,Primevere du val Daone,Primula di Val Daone,3,NT,3,0,1,1,0,0,0
326400,Primula glutinosa Jacq.,Klebrige Primel,Primevere glutineuse,Primula vischiosa,3,NT,3,0,0,1,0,0,0
326500,Primula halleri J. F. Gmel.,Hallers Primel,Primevere a longues fleurs,Primula di Haller,3,NT,3,1,0,1,0,0,0
328000,Prunella laciniata (L.) L.,Weisse Brunelle,Brunelle blanche,Prunella gialla,4,VU,1,1,1,1,0,A,A
330500,Pseudostellaria europaea Schaeftl.,Knollenmiere,Pseudostellaire d'Europe,Centocchio bulboso,2,EN,2,2,2,2,1,0,0
330900,Pteris cretica L.,Saumfarn,Pteris de Crete,Pteride di Creta,3,VU,2,1,1,2,1,0,D
331000,Ptychotis saxifraga (L.) Loret & Barrandon,Faltenohr,Ptychotis saxifrage,Prezzemolo falso,2,RE,1,99,0,0,0,0,D
331300,Pulicaria vulgaris Gaertn.,Kleines Flohkraut,Pulicaire commune,Incensaria fetida,2,RE,1,99,0,0,0,D,D
331600,Pulmonaria collina W. Sauer,Huegel-Lungenkraut,Pulmonaire des collines,Polmonaria di collina,3,NT,3,1,0,1,0,C,A
331800,Pulmonaria helvetica Bolliger,Schweizerisches Lungenkraut,Pulmonaire de Suisse,Polmonaria elvetica,2,NT,4,2,2,1,0,0,A
332700,Pulmonaria montana subsp. jurana (Graber) W. Sauer,Jura-Lungenkraut,Pulmonaire du Jura,Polmonaria del Giura,3,NT,3,1,0,1,0,A,0
333250,Pulsatilla alpina subsp. alba Zaemelis & Paegle,Weisse Anemone,Pulsatille des Alpes,Pulsatilla bianca,2,CR,1,1,1,1,0,0,0
333700,Pulsatilla halleri (All.) Willd.,Hallers Kuechenschelle,Pulsatille de Haller,Pulsatilla di Haller,2,VU,3,1,1,1,0,0,0
334200,Pulsatilla vulgaris Mill.,Gewoehnliche Kuechenschelle,Coquelourde,Pulsatilla comune,3,EN,1,2,2,2,1,A,A
