Taxon ID InfoSpecies,groupe d'organisme,org. abrév., ID taxon,nom du taxon,Synonymes utiles,nom allemand,nom français,nom italien,priorité,menace,responsabilité,nécessité de prendre des mesures,nécessité de surveiller les populations,connaissances suffisantes?,techniques connues?,BE,JU
infoflora:65300,Gefässpflanzen,TRAC,65300,Bromus arvensis L.,,Acker-Trespe,Brome des champs,Forasacco dei campi,4,VU,1,1,0,1,0,A,C
infoflora:65530,Gefässpflanzen,TRAC,65530,Bromus commutatus Schrad. subsp. commutatus,,Verwechselte Trespe,Brome confondu,Forasacco allungato,4,VU,1,1,0,1,0,A,0
infoflora:65800,Gefässpflanzen,TRAC,65800,Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.,,Zusammengezogene Trespe,Brome condensé,Forasacco denso,4,NT,2,1,0,1,0,0,0
infoflora:65900,Gefässpflanzen,TRAC,65900,Bromus grossus DC.,,Dickährige Trespe,Brome à gros épillets,Forasacco del farro,2,CR,1,2,1,2,1,A,C
infoflora:66200,Gefässpflanzen,TRAC,66200,Bromus japonicus Thunb.,,Japanische Trespe,Brome du Japon,Forasacco patente,4,VU,1,1,0,1,0,A,0
infoflora:66550,Gefässpflanzen,TRAC,66550,Bromus racemosus L.,,Gewöhnliche Trauben-Trespe,Brome en grappe,Forasacco palustre,3,EN,1,1,0,1,0,A,A
infoflora:67000,Gefässpflanzen,TRAC,67000,Bromus secalinus L.,,Roggen-Trespe,Brome du seigle,Forasacco delle messi,4,VU,1,1,0,1,0,A,D
infoflora:67500,Gefässpflanzen,TRAC,67500,Bryonia alba L.,,Weisse Zaunrübe,Bryone blanche,Brionia bianca,2,RE,1,99,0,0,0,C,0
infoflora:67800,Gefässpflanzen,TRAC,67800,Bufonia paniculata Dubois,,Buffonie,Bufonie paniculée,Buffonia paniculata,3,EN,1,2,2,2,1,0,0
infoflora:68200,Gefässpflanzen,TRAC,68200,Bunias erucago L.,,Acker-Zackenschötchen,Bunias fausse roquette,Cascellore comune,2,CR,1,1,1,1,0,D,D
infoflora:69600,Gefässpflanzen,TRAC,69600,Bupleurum longifolium L.,,Langblättriges Hasenohr,Buplèvre à longues feuilles,Bupleuro con foglie lunghe,4,VU,1,2,1,2,1,A,C
infoflora:70100,Gefässpflanzen,TRAC,70100,Bupleurum ranunculoides subsp. caricinum (DC.) Arcang.,,Grasblättriges Hasenohr,Buplèvre à feuilles de graminées,Bupleuro falso-carice,4,NT,2,0,0,1,0,0,0
infoflora:70200,Gefässpflanzen,TRAC,70200,Bupleurum rotundifolium L.,,Rundblättriges Hasenohr,Buplèvre à feuilles rondes,Bupleuro perfogliato,3,EN,1,2,0,2,1,A,D
infoflora:70400,Gefässpflanzen,TRAC,70400,Butomus umbellatus L.,,Schwanenblume,Butome en ombelle,Giunco fiorito,4,VU,1,1,1,1,0,A,0
infoflora:70700,Gefässpflanzen,TRAC,70700,Calamagrostis canescens (F. H. Wigg.) Roth,,Lanzettliches Reitgras,Calamagrostide blanchâtre,Cannella delle torbiere,4,VU,1,1,1,1,0,A,0
infoflora:71100,Gefässpflanzen,TRAC,71100,Calamagrostis phragmitoides Hartm.,,Purpur-Reitgras,Calamagrostide pourpre,Cannella purpurea,3,EN,1,2,2,2,1,0,0
infoflora:71200,Gefässpflanzen,TRAC,71200,Calamagrostis pseudophragmites (Haller f.) Koeler,,Schilfähnliches Reitgras,Calamagrostide roseau,Cannella spondicola,4,VU,1,1,1,1,0,A,C
infoflora:71300,Gefässpflanzen,TRAC,71300,Calamagrostis stricta (Timm) Koeler,,Übersehenes Reitgras,Calamagrostide raide,Cannella rigida,2,CR(PE),1,99,0,0,0,0,0
infoflora:71600,Gefässpflanzen,TRAC,71600,Calamintha ascendens Jord.,,Aufsteigende Bergminze,Sarriette ascendante,Mentuccia ascendente,4,VU,1,1,1,1,0,A,0
infoflora:72300,Gefässpflanzen,TRAC,72300,Caldesia parnassifolia (L.) Parl.,,Caldesie,Caldésie à feuilles de parnassie,Mestolaccia minore,1,RE,2,99,1,1,0,0,0
infoflora:72400,Gefässpflanzen,TRAC,72400,Calendula arvensis L.,,Acker-Ringelblume,Souci des champs,Fiorrancio selvatico,4,VU,1,1,0,1,0,A,0
infoflora:72700,Gefässpflanzen,TRAC,72700,Calla palustris L.,,Drachenwurz,Calla des marais,Calla palustre,3,EN,1,2,2,2,1,0,0
infoflora:72800,Gefässpflanzen,TRAC,72800,Callianthemum coriandrifolium Rchb.,,Schmuckblume,Callianthème à feuilles de coriandre,Ranuncolo con foglie di coriandro,3,VU,2,1,0,1,0,0,0
infoflora:73000,Gefässpflanzen,TRAC,73000,Callitriche cophocarpa Sendtn.,,Stumpffrüchtiger Wasserstern,Callitriche à fruits obtus,Gamberaia polimorfa,4,VU,1,1,1,1,0,A,A
infoflora:73200,Gefässpflanzen,TRAC,73200,Callitriche obtusangula Le Gall,,Stumpfkantiger Wasserstern,Callitriche à angles obtus,Gamberaia ottusa,2,CR,1,2,1,2,1,0,0
infoflora:73400,Gefässpflanzen,TRAC,73400,Callitriche platycarpa Kütz.,,Flachfrüchtiger Wasserstern,Etoile d'eau à fruits plats,Gamberaia appiattita,4,VU,1,1,1,1,0,C,A
infoflora:74100,Gefässpflanzen,TRAC,74100,Camelina alyssum (Mill.) Thell.,,Gezähnter Leindotter,Caméline alysson,Dorella dentata,2,RE,1,99,0,0,0,D,D
infoflora:74200,Gefässpflanzen,TRAC,74200,Camelina microcarpa DC.,,Kleinfrüchtiger Leindotter,Caméline à petits fruits,Dorella minore,4,VU,1,1,0,1,0,C,0
infoflora:74750,Gefässpflanzen,TRAC,74750,Campanula bertolae Colla,,Bertolas Glockenblume,Campanule de Bertola,Campanula di Bertola,3,EN,1,1,1,1,0,0,0
infoflora:74800,Gefässpflanzen,TRAC,74800,Campanula bononiensis L.,,Bologneser Glockenblume,Campanule de Bologne,Campanula bolognese,4,VU,1,1,1,1,0,0,0
