,date,place,species,year,loc_date,location,place_copy,places,places1,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel
113,2020-08-04,buren 2,sorbus-aucuparia,1,"('buren 2', '2020-08-04')",a,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,cdf,biel
114,2020-08-04,buren 2,sambucus-nigra,1,"('buren 2', '2020-08-04')",a,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Adoxaceae,X,X,X,X,X,X,X,cdf,biel
115,2020-08-04,buren 2,echium-vulgare,1,"('buren 2', '2020-08-04')",a,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Boraginaceae,X,X,X,X,X,X,X,X,biel
116,2020-08-04,buren 2,silene-pratensis,1,"('buren 2', '2020-08-04')",a,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel
117,2020-08-04,buren 2,cichorium-intybus,1,"('buren 2', '2020-08-04')",a,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
118,2020-08-04,buren 2,geranium-robertianum,1,"('buren 2', '2020-08-04')",a,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Geraniaceae,X,X,X,X,X,X,X,cdf,biel
119,2020-08-04,buren 2,urtica-dioica,1,"('buren 2', '2020-08-04')",a,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Urticaceae,X,X,X,X,X,X,X,cdf,biel
120,2020-08-04,buren 2,sambucus-nigra,1,"('buren 2', '2020-08-04')",a,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Adoxaceae,X,X,X,X,X,X,X,cdf,biel
121,2020-08-07,buren 2,geranium-pyrenaicum,1,"('buren 2', '2020-08-07')",b,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Geraniaceae,X,X,X,X,X,X,X,cdf,biel
122,2020-08-07,buren 2,melilotus-albus,1,"('buren 2', '2020-08-07')",b,buren 2,buren-2,buerenstrasse-suze-5,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,X,biel
